Student_Type,Sleep_Hours,Study_Hours,Social_Media_Hours,Attendance,Exam_Pressure,Family_Support,Month,Stress_Level
school,6.86870239,1.711721895,3.176942319,,8.0,7.0,2.0,1
school,8.519088216,3.251083781,3.880786844,93.97846478,6.0,4.0,3.0,1
college,4.498770168,6.306885353,2.93617166,64.42125337,7.0,1.0,12.0,1
school,8.591222661,2.384921838,5.222831682,81.86896046,2.0,7.0,7.0,0
college,5.329292606,9.345178927,7.815869006,85.84798211,5.0,6.0,10.0,1
college,4.914848831,,2.141136877,85.14409468,3.0,5.0,5.0,0
college,6.621709042,5.261762385,4.879102366,,4.0,7.0,7.0,0
college,6.357064561,2.827954958,6.198479439,74.18034148,7.0,8.0,6.0,0
college,8.085219109,5.043730789,4.66060446,89.56436691,3.0,2.0,7.0,0
college,4.627502422,4.743084483,5.579822328,95.79431515,5.0,5.0,10.0,0
working_student,4.00761987,9.734760239,5.677249286,78.66349136,3.0,9.0,7.0,0
school,5.573535708,3.498581566,5.777487461,85.47722153,,5.0,3.0,1
college,9.934737322,5.784036987,5.167116091,85.02437782,8.0,8.0,3.0,1
college,7.540098802,6.814306854,0.192821275340958,77.97435953,7.0,6.0,1.0,1
college,6.813604728,7.420428154,4.22130106,83.42805511,9.0,5.0,11.0,1
college,6.341331506,1.038578112,6.496086671,82.28843294,2.0,2.0,3.0,0
college,6.396366982,7.188367075,2.603280806,86.7092703,1.0,,1.0,0
working_student,4.540825629,8.848871771,1.310501399,69.15808823,5.0,6.0,6.0,1
school,9.473756405,3.235463333,3.049000608,,5.0,3.0,6.0,0
working_student,6.761346773,9.092708857,4.086536532,68.2290709,6.0,7.0,8.0,0
school,8.926145784,2.667914292,4.332591242,81.98084665,8.0,3.0,4.0,0
,4.646379493,8.303502427,3.019420345,98.49393838,1.0,4.0,5.0,0
school,8.408162724,4.238800588,1.493589217,70.04775534,8.0,6.0,5.0,0
college,3.682529457,2.17159618,4.611159669,73.90222385,6.0,7.0,2.0,0
college,3.811062943,5.988891445,3.748397599,75.12628555,4.0,6.0,2.0,0
school,7.321082933,1.074293467,,69.92073363,5.0,5.0,10.0,0
college,5.71689489,5.475361965,3.090666016,76.42203093,3.0,8.0,12.0,0
college,4.471109176,10.28216585,5.409925037,74.14068992,6.0,5.0,5.0,1
school,7.714944484,3.452921717,0.471431805418728,76.02021302,3.0,8.0,4.0,0
college,8.586923391,3.911498461,4.025025343,95.39943864,7.0,5.0,9.0,0
working_student,6.296362868,,5.100235283,90.84185367,2.0,8.0,9.0,0
school,8.360889538,3.924662485,6.412007926,80.59893382,6.0,8.0,2.0,0
school,8.742968333,2.979678431,1.793670055,95.89567095,9.0,6.0,11.0,0
college,5.812594349,5.103694066,4.090141489,75.68118255,3.0,,6.0,1
school,5.86546441,2.895820596,2.373357691,67.33994219,7.0,7.0,12.0,1
college,4.27326707,6.062856706,,95.01887167,1.0,10.0,10.0,0
school,6.729379401,3.321199367,,70.54012164,3.0,3.0,2.0,0
college,5.299253864,,0.12719592018403,64.70203035,6.0,7.0,6.0,1
school,8.982295253,2.73955271,,78.01115126,5.0,3.0,10.0,0
working_student,7.739757107,,4.578908313,72.93096414,2.0,4.0,1.0,0
,4.907335422,6.067430893,,83.2609389,5.0,4.0,7.0,0
college,5.630410594,,8.942404345,83.97348796,5.0,3.0,11.0,0
working_student,3.394750099,5.23626092,3.963107248,95.52670109,3.0,1.0,9.0,0
working_student,7.0751535,5.086542822,4.825578073,83.64975515,5.0,5.0,6.0,0
college,8.918998166,5.745941417,3.510806069,89.44491098,6.0,7.0,1.0,0
college,5.284386903,5.22813162,4.345107855,81.71745051,8.0,3.0,6.0,1
school,7.76372877,0.934292446955832,3.444047428,95.54517918,6.0,9.0,6.0,0
school,7.241748217,2.395483839,2.83560727,,2.0,7.0,4.0,0
school,7.843468091,3.618062531,2.238722641,77.010716,3.0,7.0,3.0,0
school,6.477424138,3.190956422,1.693351934,77.42790748,7.0,6.0,2.0,1
school,7.077199827,2.67094103,3.831142728,70.94230495,4.0,6.0,4.0,0
college,8.261997918,4.601198532,2.65372747,83.54260653,4.0,1.0,6.0,0
school,6.757157352,3.451488803,3.46978297,85.73773092,5.0,5.0,5.0,0
working_student,7.069815167,7.383754256,0.931344029533274,99.911975,4.0,6.0,7.0,0
college,6.659227782,2.211643204,6.318186982,85.75489653,4.0,9.0,8.0,0
college,6.805782536,3.234973983,3.795826838,97.73176837,3.0,5.0,9.0,0
college,7.60134659,,4.949494189,84.00470403,5.0,5.0,11.0,0
working_student,6.758806828,6.099771189,1.920056002,99.17175768,3.0,7.0,11.0,0
college,7.350924073,0.546922465578256,5.108031325,91.15192225,6.0,3.0,6.0,0
college,6.823924009,3.430923262,5.010045106,82.29123718,4.0,5.0,10.0,0
college,8.787241361,,6.265738958,68.06841164,9.0,7.0,8.0,0
college,7.029890727,3.82151662,4.80717262,90.56186726,2.0,2.0,12.0,0
college,8.331082132,3.535814393,2.356416804,85.22497058,,4.0,8.0,1
working_student,3.612740423,6.686402284,4.694972491,76.63283434,2.0,9.0,12.0,0
college,5.251724871,5.012890781,4.570371753,91.11807767,4.0,6.0,6.0,0
college,5.251791891,0.184138038383299,5.001893361,74.42653777,7.0,4.0,2.0,1
college,6.505488376,8.088367758,6.30141275,86.39042692,7.0,5.0,8.0,1
college,7.812780841,2.226284542,0.10570771327486,71.87070758,9.0,4.0,1.0,1
college,4.718068821,3.982004532,5.125737203,59.46115778,5.0,10.0,2.0,0
school,9.269452202,2.569148887,7.74226039,76.82960396,7.0,6.0,7.0,0
working_student,,2.1462665,2.659328243,88.89669983,2.0,5.0,12.0,0
college,5.350593121,0.737627727989415,3.928881245,79.70043539,4.0,3.0,1.0,0
working_student,6.86418056,,0.553387277674316,,6.0,5.0,3.0,0
working_student,6.749753195,9.880133694,1.728941332,93.67595102,6.0,5.0,4.0,0
working_student,5.6205421,6.611878649,3.062391936,68.25887831,5.0,2.0,10.0,0
school,5.415030906,6.131987981,1.956952714,61.05357688,7.0,9.0,2.0,1
school,7.931829654,,0.872919377559981,81.29244516,7.0,6.0,10.0,0
college,8.24182053,2.40080969,5.759764815,74.96176489,8.0,8.0,2.0,1
working_student,7.722817068,6.325642607,1.981282597,84.93605955,6.0,4.0,10.0,0
college,8.98554147,8.197475056,1.514302662,73.58496212,8.0,,12.0,1
college,6.826720143,6.465850932,4.170373749,99.64047897,6.0,8.0,10.0,0
college,6.84464769,,3.533206747,,4.0,7.0,1.0,0
,9.150967793,1.242482842,1.653746037,88.10298422,6.0,7.0,8.0,0
college,9.867791313,2.464400013,5.307604892,73.51346265,4.0,,1.0,0
,7.10742671,4.14157391,1.575881429,95.18846361,5.0,7.0,,0
college,3.759542425,7.158781883,3.705446393,84.4251518,6.0,7.0,7.0,0
college,8.151948633,6.334222337,6.452837828,72.25876094,7.0,5.0,6.0,1
,3.991246594,6.564630747,0.947214008810557,86.96910987,1.0,9.0,6.0,0
college,6.646831144,3.652309665,5.82048039,88.68083626,9.0,5.0,2.0,1
college,5.038782923,2.443120156,2.950339794,76.66648146,,5.0,5.0,0
college,8.051305278,1.926308966,5.642104869,64.16396051,3.0,4.0,7.0,0
working_student,6.640615055,6.357867835,,99.04736809,5.0,5.0,11.0,0
school,8.178719469,4.299605668,3.488512809,82.85324629,7.0,8.0,5.0,1
college,6.387916705,3.087948001,2.300491524,85.56749953,2.0,7.0,3.0,0
working_student,4.280158086,8.820542616,2.94447554,,5.0,5.0,1.0,1
college,5.396868403,6.214732812,6.034256285,,5.0,3.0,7.0,0
working_student,5.782566484,5.176044867,4.886095615,66.89372206,8.0,6.0,3.0,1
college,7.566493114,2.689248558,1.38977693,79.11305527,,7.0,7.0,0
working_student,6.090773795,6.239950469,2.353070927,71.27613764,1.0,8.0,9.0,0
working_student,4.100585147,4.207261383,0.438117318737185,92.73558954,5.0,4.0,11.0,0
college,6.633389722,3.529524902,5.500834972,76.82933305,6.0,9.0,12.0,0
college,8.769863246,8.776803631,2.221439554,82.98072515,6.0,7.0,7.0,1
college,7.034506789,6.71159177,5.466398149,71.01726712,3.0,7.0,9.0,0
,7.522528292,4.454900521,5.028888748,81.42163521,5.0,,1.0,0
college,5.503494584,7.102219556,3.665350754,63.64918792,9.0,7.0,1.0,1
college,8.105357626,2.361448464,2.165260602,84.76491443,3.0,7.0,7.0,0
school,7.74938204,5.357698171,3.388892395,95.09821908,6.0,3.0,1.0,1
college,6.567975874,,0.398920831359556,98.88279319,1.0,3.0,1.0,0
college,8.182926061,7.862117457,4.055374294,76.68168065,4.0,8.0,12.0,0
college,4.411479807,3.866609022,3.401607513,98.09085451,7.0,6.0,9.0,1
college,8.053714986,7.766768877,4.387970825,74.22950778,9.0,8.0,,1
college,9.070930918,,5.342538407,77.75203906,3.0,6.0,12.0,0
college,6.886137849,4.662738897,2.277418247,53.37807948,3.0,2.0,5.0,0
school,7.000958589,3.549752533,6.440987072,94.40577739,5.0,1.0,10.0,1
college,,5.715014397,3.864036942,87.55690488,2.0,8.0,12.0,1
college,6.632045699,5.530673875,4.042291747,81.41292896,4.0,7.0,2.0,0
school,7.838156899,5.747079144,1.833779476,96.97982132,5.0,1.0,5.0,1
college,8.302737617,4.001870586,3.077075313,93.11051111,8.0,7.0,3.0,1
college,6.697847016,5.353325047,3.121494864,95.6690534,10.0,5.0,6.0,1
college,5.030948242,1.8187973,4.367985015,75.59183002,7.0,6.0,12.0,0
school,7.593141048,4.060859955,0.550461599150723,98.37861995,10.0,7.0,7.0,1
college,7.344508996,3.426110067,4.647734482,83.38309906,2.0,7.0,10.0,0
working_student,4.85167971,7.797493078,1.115207127,92.20084004,5.0,7.0,1.0,0
school,6.793840742,5.105448289,1.064641901,82.43333211,8.0,3.0,7.0,0
college,9.918081214,9.087370959,2.084056123,99.50579,3.0,6.0,3.0,1
working_student,,11.19196111,5.93889901,64.48757299,8.0,1.0,8.0,1
college,6.142606852,4.152019856,1.260268419,80.13787814,6.0,6.0,,0
school,6.488410075,3.845641131,0.273830002580551,75.61976321,7.0,8.0,10.0,0
school,6.951592223,2.268869146,0.991930152020687,97.03947798,4.0,9.0,9.0,1
working_student,5.992652224,5.66216153,2.272025613,78.21796054,2.0,6.0,8.0,0
